,Date,Yearly,10 Year Average
0,1880-12-31,15.008666666666665,
1,1881-12-31,15.087166666666668,
2,1882-12-31,15.05658333333333,
3,1883-12-31,14.96325,
4,1884-12-31,14.833250000000001,
5,1885-12-31,14.854416666666667,
6,1886-12-31,14.835250000000002,
7,1887-12-31,14.816,
8,1888-12-31,14.994083333333336,
9,1889-12-31,15.113416666666668,14.956208333333333
10,1890-12-31,14.84075,14.939416666666665
11,1891-12-31,14.94383333333333,14.92508333333333
12,1892-12-31,14.8825,14.907674999999998
13,1893-12-31,14.912250000000002,14.902574999999999
14,1894-12-31,14.91475,14.910725
15,1895-12-31,14.969000000000001,14.922183333333331
16,1896-12-31,15.090583333333335,14.947716666666665
17,1897-12-31,15.075333333333335,14.973649999999997
18,1898-12-31,14.886916666666664,14.96293333333333
19,1899-12-31,15.048333333333334,14.956425
20,1900-12-31,15.143916666666668,14.986741666666665
21,1901-12-31,15.073333333333332,14.999691666666667
22,1902-12-31,14.958333333333334,15.007275000000002
23,1903-12-31,14.836583333333335,14.999708333333334
24,1904-12-31,14.810416666666669,14.989275000000001
25,1905-12-31,14.954666666666666,14.987841666666668
26,1906-12-31,15.03191666666667,14.981975
27,1907-12-31,14.874833333333335,14.961924999999999
28,1908-12-31,14.838166666666671,14.957049999999999
29,1909-12-31,14.790333333333335,14.931249999999997
30,1910-12-31,14.819083333333333,14.898766666666665
31,1911-12-31,14.776000000000002,14.869033333333334
32,1912-12-31,14.877166666666666,14.860916666666665
33,1913-12-31,14.908749999999998,14.868133333333333
34,1914-12-31,15.076250000000002,14.894716666666667
35,1915-12-31,15.143749999999999,14.913625000000001
36,1916-12-31,14.901333333333334,14.900566666666668
37,1917-12-31,14.809750000000003,14.894058333333337
38,1918-12-31,14.959833333333336,14.906225000000003
39,1919-12-31,15.006749999999998,14.92786666666667
40,1920-12-31,15.026249999999997,14.948583333333337
41,1921-12-31,15.102083333333335,14.98119166666667
42,1922-12-31,15.012333333333336,14.994708333333339
43,1923-12-31,15.027833333333332,15.00661666666667
44,1924-12-31,15.039333333333333,15.002925000000005
45,1925-12-31,15.090333333333334,14.997583333333335
46,1926-12-31,15.241083333333336,15.031558333333336
47,1927-12-31,15.122250000000001,15.062808333333336
48,1928-12-31,15.13225,15.080050000000004
49,1929-12-31,14.967416666666665,15.076116666666667
50,1930-12-31,15.172499999999998,15.090741666666664
51,1931-12-31,15.228250000000003,15.103358333333333
52,1932-12-31,15.188000000000002,15.120925
53,1933-12-31,15.012916666666667,15.119433333333333
54,1934-12-31,15.1445,15.12995
55,1935-12-31,15.118833333333335,15.132799999999998
56,1936-12-31,15.166166666666667,15.125308333333331
57,1937-12-31,15.3005,15.14313333333333
